player_id,course_name,round_id,round_date,hole_number,par,yards,stroke_index,score,score_vs_par
1,Southampton Municapal Golf Course,8,2022-11-12,4,4,328,13,5,1
1,Southampton Municapal Golf Course,8,2022-11-12,5,3,173,15,5,2
1,Southampton Municapal Golf Course,8,2022-11-12,6,4,336,7,9,5
1,Southampton Municapal Golf Course,8,2022-11-12,7,4,441,1,8,4
1,Southampton Municapal Golf Course,8,2022-11-12,8,4,379,5,8,4
1,Southampton Municapal Golf Course,8,2022-11-12,9,4,319,11,5,1
1,Southampton Municapal Golf Course,8,2022-11-12,10,3,168,18,4,1
1,Southampton Municapal Golf Course,8,2022-11-12,11,4,346,14,7,3
1,Southampton Municapal Golf Course,8,2022-11-12,12,4,418,4,9,5
1,Southampton Municapal Golf Course,8,2022-11-12,13,4,315,16,6,2
1,Southampton Municapal Golf Course,8,2022-11-12,14,4,435,2,8,4
1,Southampton Municapal Golf Course,8,2022-11-12,15,4,446,12,9,5
1,Southampton Municapal Golf Course,8,2022-11-12,16,5,454,8,9,4
1,Southampton Municapal Golf Course,8,2022-11-12,17,3,151,10,4,1
1,Southampton Municapal Golf Course,8,2022-11-12,18,4,355,6,5,1
1,Boundary Lakes,9,2022-11-18,1,4,331,5,6,2
1,Boundary Lakes,9,2022-11-18,2,3,114,14,5,2
1,Boundary Lakes,9,2022-11-18,3,4,355,4,9,5
1,Boundary Lakes,9,2022-11-18,4,4,296,15,6,2
1,Boundary Lakes,9,2022-11-18,5,3,147,16,5,2
1,Boundary Lakes,9,2022-11-18,6,5,476,7,8,3
1,Boundary Lakes,9,2022-11-18,7,4,363,9,9,5
1,Boundary Lakes,9,2022-11-18,8,5,528,2,6,1
1,Boundary Lakes,9,2022-11-18,9,3,164,10,4,1
1,Boundary Lakes,9,2022-11-18,10,4,231,17,4,0
1,Boundary Lakes,9,2022-11-18,11,3,100,18,7,4
1,Boundary Lakes,9,2022-11-18,12,5,495,3,9,4
1,Boundary Lakes,9,2022-11-18,13,3,148,13,4,1
1,Boundary Lakes,9,2022-11-18,14,4,352,1,8,4
1,Boundary Lakes,9,2022-11-18,15,3,173,8,5,2
1,Boundary Lakes,9,2022-11-18,16,4,292,12,8,4
1,Boundary Lakes,9,2022-11-18,17,5,436,11,6,1
1,Boundary Lakes,9,2022-11-18,18,3,153,6,5,2
1,Paultons Golf Centre,10,2022-11-19,1,4,309,15,5,1
1,Paultons Golf Centre,10,2022-11-19,2,5,517,8,8,3
1,Paultons Golf Centre,10,2022-11-19,3,3,170,12,5,2
1,Paultons Golf Centre,10,2022-11-19,4,4,396,6,5,1
1,Paultons Golf Centre,10,2022-11-19,5,4,369,2,6,2
1,Paultons Golf Centre,10,2022-11-19,6,3,183,11,4,1
1,Paultons Golf Centre,10,2022-11-19,7,5,476,4,8,3
1,Paultons Golf Centre,10,2022-11-19,8,3,143,17,5,2
1,Paultons Golf Centre,10,2022-11-19,9,5,459,14,6,1
1,Paultons Golf Centre,10,2022-11-19,10,4,371,13,6,2
1,Paultons Golf Centre,10,2022-11-19,11,4,338,10,6,2
1,Paultons Golf Centre,10,2022-11-19,12,3,120,18,5,2
1,Paultons Golf Centre,10,2022-11-19,13,5,468,7,7,2
1,Paultons Golf Centre,10,2022-11-19,14,4,376,5,7,3
1,Paultons Golf Centre,10,2022-11-19,15,3,154,9,5,2
1,Paultons Golf Centre,10,2022-11-19,16,4,424,3,8,4
1,Paultons Golf Centre,10,2022-11-19,16,4,424,3,7,3
1,Paultons Golf Centre,10,2022-11-19,18,4,290,16,7,3
