player_id,course_name,round_id,round_date,hole_number,par,yards,stroke_index,score,score_vs_par
1,Rookwood Golf Centre,33,2023-06-04,10,4,357,9,7,3
1,Rookwood Golf Centre,33,2023-06-04,11,3,151,13,5,2
1,Rookwood Golf Centre,33,2023-06-04,12,5,527,1,6,1
1,Rookwood Golf Centre,33,2023-06-04,13,3,159,15,5,2
1,Rookwood Golf Centre,33,2023-06-04,14,4,359,3,6,2
1,Rookwood Golf Centre,33,2023-06-04,15,5,536,11,9,4
1,Rookwood Golf Centre,33,2023-06-04,16,3,155,17,3,0
1,Rookwood Golf Centre,33,2023-06-04,17,4,383,7,5,1
1,Rookwood Golf Centre,33,2023-06-04,18,5,443,5,7,2
1,Southampton Municipal - 9,34,2023-06-16,1,3,122,8,3,0
1,Southampton Municipal - 9,34,2023-06-16,2,4,322,4,4,0
1,Southampton Municipal - 9,34,2023-06-16,3,3,117,9,7,4
1,Southampton Municipal - 9,34,2023-06-16,4,4,335,2,5,1
1,Southampton Municipal - 9,34,2023-06-16,5,3,117,6,4,1
1,Southampton Municipal - 9,34,2023-06-16,6,4,312,5,7,3
1,Southampton Municipal - 9,34,2023-06-16,7,3,150,7,4,1
1,Southampton Municipal - 9,34,2023-06-16,8,4,358,3,6,2
1,Southampton Municipal - 9,34,2023-06-16,9,5,440,1,7,2
1,Dorking Golf Club,35,2023-06-17,1,4,271,13,4,0
1,Dorking Golf Club,35,2023-06-17,2,4,347,3,7,3
1,Dorking Golf Club,35,2023-06-17,3,4,437,1,6,2
1,Dorking Golf Club,35,2023-06-17,4,3,131,15,4,1
1,Dorking Golf Club,35,2023-06-17,5,4,277,11,6,2
1,Dorking Golf Club,35,2023-06-17,6,3,178,17,4,1
1,Dorking Golf Club,35,2023-06-17,7,4,311,7,5,1
1,Dorking Golf Club,35,2023-06-17,8,3,230,9,5,2
1,Dorking Golf Club,35,2023-06-17,9,4,374,5,5,1
1,Dorking Golf Club,35,2023-06-17,10,4,271,13,4,0
1,Dorking Golf Club,35,2023-06-17,11,4,347,3,5,1
1,Dorking Golf Club,35,2023-06-17,12,4,437,1,5,1
1,Dorking Golf Club,35,2023-06-17,13,3,131,15,3,0
1,Dorking Golf Club,35,2023-06-17,14,4,277,11,4,0
1,Dorking Golf Club,35,2023-06-17,15,3,178,17,4,1
1,Dorking Golf Club,35,2023-06-17,16,4,311,7,5,1
1,Dorking Golf Club,35,2023-06-17,17,3,230,9,6,3
1,Dorking Golf Club,35,2023-06-17,18,4,374,5,7,3
1,Southampton Municipal - 9,36,2023-06-22,1,3,122,8,4,1
1,Southampton Municipal - 9,36,2023-06-22,2,4,322,4,5,1
1,Southampton Municipal - 9,36,2023-06-22,3,3,117,9,5,2
1,Southampton Municipal - 9,36,2023-06-22,4,4,335,2,6,2
1,Southampton Municipal - 9,36,2023-06-22,5,3,117,6,4,1
1,Southampton Municipal - 9,36,2023-06-22,6,4,312,5,5,1
1,Southampton Municipal - 9,36,2023-06-22,7,3,150,7,4,1
1,Southampton Municipal - 9,36,2023-06-22,8,4,358,3,7,3
1,Southampton Municipal - 9,36,2023-06-22,9,5,440,1,6,1
1,Hurtmore Golf Club,37,2023-07-08,1,4,332,12,4,0
1,Hurtmore Golf Club,37,2023-07-08,2,3,175,8,4,1
1,Hurtmore Golf Club,37,2023-07-08,3,4,436,2,6,2
